seq,tx_ts,rx_ts,latency_ns
609,1763689449157231518,1763689449157149195,-82323
610,1763689449158291112,1763689449158210188,-80924
611,1763689449159351855,1763689449159270515,-81340
612,1763689449160411671,1763689449160330470,-81201
613,1763689449161471340,1763689449161389315,-82025
614,1763689449162532027,1763689449162449679,-82348
615,1763689449163591899,1763689449163510579,-81320
616,1763689449164651623,1763689449164569109,-82514
617,1763689449165711458,1763689449165628935,-82523
618,1763689449166772238,1763689449166689891,-82347
619,1763689449167832018,1763689449167750254,-81764
620,1763689449168891797,1763689449168809247,-82550
621,1763689449169951540,1763689449169870111,-81429
622,1763689449171012357,1763689449170929992,-82365
623,1763689449172071710,1763689449171990948,-80762
624,1763689449173131397,1763689449173048978,-82419
625,1763689449174191121,1763689449174108453,-82668
626,1763689449175251882,1763689449175170594,-81288
627,1763689449176310366,1763689449176228531,-81835
